page_size,total_file_size,total_records,time
100,185644,8304,0:00:00.732613
100,185663,8304,0:00:00.654733
100,185606,8304,0:00:00.671318
100,185613,8304,0:00:00.775167
100,185639,8304,0:00:00.713570
100,185626,8304,0:00:00.680826
100,185592,8304,0:00:00.690035
100,185611,8304,0:00:00.681016
100,185651,8304,0:00:00.670132
100,179929,8304,0:00:00.695680
100,184290,8304,0:00:00.698813
100,185620,8304,0:00:00.717333
100,178432,8304,0:00:00.703958
100,185633,8304,0:00:00.720359
100,176938,8304,0:00:00.700841
100,175134,8304,0:00:00.728290
100,182999,8304,0:00:00.771719
100,187430,8304,0:00:00.723601
100,191751,8304,0:00:00.822066
100,182711,8304,0:00:00.744766
100,199913,8304,0:00:00.737093
100,175488,8304,0:00:00.745541
100,166851,8304,0:00:00.790418
100,172608,8304,0:00:00.752217
100,188607,8304,0:00:00.805610
100,187549,8304,0:00:00.793269
100,182666,8304,0:00:00.835656
100,184092,8304,0:00:00.771668
100,182859,8304,0:00:00.787788
100,186245,8304,0:00:00.807346
100,186673,8304,0:00:00.775422
100,183848,8304,0:00:00.790234
100,184399,8304,0:00:00.889901
100,182834,8304,0:00:00.966709
100,177392,8304,0:00:01.035102
100,174785,8304,0:00:01.197622
100,183713,8304,0:00:00.862756
100,185670,8304,0:00:00.803483
100,184019,8304,0:00:00.862195
100,179050,8304,0:00:00.844451
100,183369,8304,0:00:00.809028
100,194706,8304,0:00:00.852413
100,204434,8304,0:00:00.844967
100,187513,8304,0:00:00.860676
100,187701,8304,0:00:00.844661
100,189116,8304,0:00:00.874104
100,183154,8304,0:00:00.872949
100,182837,8304,0:00:00.946462
100,188215,8304,0:00:00.899123
100,184512,8304,0:00:00.922465
100,185033,8304,0:00:00.908374
100,194207,8304,0:00:00.877535
100,192781,8304,0:00:00.884318
100,185333,8304,0:00:00.888116
100,191341,8304,0:00:00.886018
100,198268,8304,0:00:00.918616
100,189780,8304,0:00:00.981198
100,187867,8304,0:00:01.021705
100,187361,8304,0:00:00.931773
100,190053,8304,0:00:00.933928
100,179741,8304,0:00:00.909350
100,194105,8304,0:00:00.925860
100,190075,8304,0:00:00.923043
100,190971,8304,0:00:01.007946
100,193149,8304,0:00:00.935417
100,189274,8304,0:00:01.003048
100,186100,8304,0:00:01.045060
100,186058,8304,0:00:00.926225
100,184187,8304,0:00:00.939043
100,189170,8304,0:00:00.985759
100,181707,8304,0:00:00.987517
100,184948,8304,0:00:00.959751
100,181924,8304,0:00:01.011037
100,185216,8304,0:00:00.980919
100,187806,8304,0:00:00.976002
100,188300,8304,0:00:00.968468
100,183391,8304,0:00:00.991423
100,185423,8304,0:00:00.986076
100,187043,8304,0:00:01.001175
100,184280,8304,0:00:01.094305
100,181078,8304,0:00:01.034268
100,182778,8304,0:00:01.087583
100,194358,8304,0:00:01.044030
100,8097,8304,0:00:00.974328
200,370128,8304,0:00:01.492960
200,370040,8304,0:00:00.793618
200,370086,8304,0:00:00.799067
200,370024,8304,0:00:00.835720
200,364400,8304,0:00:00.837760
200,368729,8304,0:00:00.884150
200,362884,8304,0:00:00.845057
200,350891,8304,0:00:00.872841
200,369248,8304,0:00:00.915860
200,373282,8304,0:00:00.912748
200,374221,8304,0:00:00.989676
200,338279,8304,0:00:01.046979
200,374976,8304,0:00:00.949583
200,365578,8304,0:00:00.896444
200,367924,8304,0:00:00.899642
200,369341,8304,0:00:00.940190
200,366053,8304,0:00:00.902452
200,350997,8304,0:00:00.923802
200,368203,8304,0:00:00.970901
200,361889,8304,0:00:00.945019
200,376895,8304,0:00:00.984805
200,390767,8304,0:00:00.991682
200,375637,8304,0:00:00.978067
200,364811,8304,0:00:00.991102
200,371547,8304,0:00:01.077440
200,378060,8304,0:00:00.986268
200,376934,8304,0:00:01.020440
200,388429,8304,0:00:01.048714
200,376467,8304,0:00:01.042216
200,376234,8304,0:00:01.143838
200,372666,8304,0:00:01.117727
200,379866,8304,0:00:01.107865
200,381243,8304,0:00:01.188606
200,370978,8304,0:00:01.445211
200,372177,8304,0:00:01.379740
200,365475,8304,0:00:01.211581
200,365960,8304,0:00:01.090881
200,374926,8304,0:00:01.298476
200,367634,8304,0:00:01.283668
200,370143,8304,0:00:01.509660
200,362676,8304,0:00:01.283850
200,201275,8304,0:00:01.037301
300,554555,8304,0:00:01.093708
300,554520,8304,0:00:00.958848
300,554496,8304,0:00:00.939523
300,547478,8304,0:00:00.938579
300,538642,8304,0:00:00.942140
300,543202,8304,0:00:01.033066
300,572014,8304,0:00:01.039823
300,512586,8304,0:00:01.017428
300,556461,8304,0:00:01.049080
300,550836,8304,0:00:01.048404
300,552560,8304,0:00:01.070253
300,532651,8304,0:00:01.306947
300,551042,8304,0:00:01.110397
300,554765,8304,0:00:01.512160
300,577288,8304,0:00:01.203988
300,552747,8304,0:00:01.130730
300,555400,8304,0:00:01.130809
300,569961,8304,0:00:01.165046
300,577029,8304,0:00:01.243479
300,562921,8304,0:00:01.209546
300,561561,8304,0:00:01.121669
300,571034,8304,0:00:01.180216
300,553985,8304,0:00:01.539779
300,553465,8304,0:00:01.198389
300,552586,8304,0:00:01.596118
300,554754,8304,0:00:01.242210
300,550041,8304,0:00:01.710851
300,382873,8304,0:00:01.214776
400,738989,8304,0:00:01.114543
400,738931,8304,0:00:01.091585
400,731950,8304,0:00:01.110726
400,712596,8304,0:00:01.204534
400,741350,8304,0:00:01.113850
400,711319,8304,0:00:01.216707
400,739373,8304,0:00:01.247855
400,736084,8304,0:00:01.155000
400,715869,8304,0:00:01.751939
400,728912,8304,0:00:01.623865
400,766482,8304,0:00:01.231801
400,739268,8304,0:00:01.476677
400,748427,8304,0:00:01.672992
400,764183,8304,0:00:02.168738
400,751521,8304,0:00:01.395081
400,751352,8304,0:00:01.438211
400,751041,8304,0:00:01.442187
400,736472,8304,0:00:01.376926
400,739706,8304,0:00:01.361000
400,736597,8304,0:00:01.481218
400,562771,8304,0:00:01.337937
500,923449,8304,0:00:01.370643
500,917692,8304,0:00:01.353789
500,906192,8304,0:00:01.312032
500,915304,8304,0:00:01.273396
500,898746,8304,0:00:01.291738
500,918690,8304,0:00:01.325332
500,910425,8304,0:00:01.255003
500,902516,8304,0:00:01.325639
500,953002,8304,0:00:01.431387
500,923114,8304,0:00:01.398239
500,943975,8304,0:00:01.315839
500,948609,8304,0:00:01.504590
500,943321,8304,0:00:01.435140
500,930069,8304,0:00:01.552372
500,916881,8304,0:00:01.743340
500,923717,8304,0:00:01.664541
500,562771,8304,0:00:01.343020
600,1107896,8304,0:00:01.302173
600,1100795,8304,0:00:01.267800
600,1080665,8304,0:00:01.324153
600,1083421,8304,0:00:01.437053
600,1106117,8304,0:00:01.348704
600,1084030,8304,0:00:01.328705
600,1104626,8304,0:00:01.571112
600,1128854,8304,0:00:01.573103
600,1124180,8304,0:00:01.647280
600,1138770,8304,0:00:01.760104
600,1131415,8304,0:00:01.919252
600,1106270,8304,0:00:01.748237
600,1106160,8304,0:00:01.715822
600,931734,8304,0:00:01.589830
700,1292309,8304,0:00:01.445435
700,1278087,8304,0:00:01.395630
700,1289795,8304,0:00:01.464621
700,1250780,8304,0:00:01.458048
700,1277169,8304,0:00:01.512771
700,1278231,8304,0:00:01.561002
700,1315889,8304,0:00:01.626828
700,1324394,8304,0:00:01.649115
700,1311901,8304,0:00:01.634027
700,1311829,8304,0:00:01.712615
700,1286212,8304,0:00:01.684013
700,1115977,8304,0:00:01.598869
800,1476741,8304,0:00:01.676262
800,1443367,8304,0:00:01.682975
